,sentence,label
0,"
E-Mail: info(at)",None
1,"Am TÜV 2 + 4
",None
2,Conversion,None
3,Tracking,None
4,Conversion Tracking und Microsoft Conversion,None
5,"Teilen mit Social-Media-Buttons (Facebook, Twitter, WhatsApp)",None
6,"

a) Facebook Inc., 1601 S California Ave, Palo Alto, California 94304, USA
",None
7,"Twitter Inc., 1355 Market St, Suite 900, San Francisco, California 94103, USA
",None
8,"https://twitter.com/privacy

c) WhatsApp Ireland Limited, 4 Grand Canal Square, Grand Canal Harbour, Dublin 2, Irland
",None
9,"

Fresenius Medical Care AG & Co. KGaA
",None
10,2.8.      Captchas,None
11,"2.9.      Google Maps
",None
12,Unnastrasse 48; 20245 Hamburg; Germany;,None
13,"Funktionale und Performance Cookies (Typ b)
",None
14,"2.1.1. Technische Cookies (Typ a)
",None
15,Funktionale und Performance Cookies (Typ b),None
16,"Analytics
Zweck/Information:",None
17,"

Empfänger:
Informationen des Drittanbieters: Google Dublin, Google Ireland Ltd., Gordon House, Barrow Street, Dublin 4, Ireland, Fax: +353 (1) 436 ",None
18,Plattform/,None
19,"

2.2.2. A/B Testing
",None
20,"Zweck/Information:
",None
21,"

a) Facebook Inc., 1601 S California Ave, Palo Alto, California 94304, USA;",None
22,"

c) Twitter, Inc., 1355 Market St, Suite 900, San Francisco, California 94103, USA; https://twitter.com/privacy.",None
23,"

d) Pinterest Inc., 808 Brannan Street San Francisco, CA 94103, USA, http://about.pinterest.com/privacy/",None
24,"LinkedIn Corporation, 2029 Stierlin Court, Mountain View, California 94043, USA;",None
25,"

a) Facebook Inc., 1601 S California Ave, Palo Alto, California 94304, USA;",None
26,"

b) Google Inc., 1600 Amphitheater Parkway, Mountainview, California 94043, USA;",None
27,"

c) Twitter, Inc., 1355 Market St, Suite 900, San Francisco, California 94103, USA; https://twitter.com/privacy.",None
28,"

Facebook Connect
",None
29,"
Information/Zweck:",None
30,"Google Ads Conversion
",None
31,Information/Zweck:,None
32,Marketing Tool,None
33,"Facebook Pixel
Information/Zweck:",None
34,"

Facebook (Website) Custom Audiences
",None
35,"

Facebook Conversion
",None
36,Plattform/,None
37,Information/Zweck:,None
38,"

Empfänger:
Informationen des Drittanbieters: Google Dublin, Google Ireland Ltd., Gordon House, Barrow Street, Dublin 4, Ireland.",None
39,"

2.8. Captchas",None
40,"

2.9. Google Maps
Information / Zweck:",None
41,UND ANGEBOTE (INNERHALB UND AUSSERHALB,None
42,Plattform/,None
43,"Zweck / Information:
",None
44,"
Zweck / Information:",None
45,Plattform/,None
46,"Zweck / Information:
",None
47,"

Plattform/",None
48,Plattform/,None
49,"Privacy and cookies policy
Last Updated: 23 May 2018",None
50,"

Version 1.1

At Tesco, we’re working hard to serve shoppers a little better every day.",None
51,Looking after the personal data you share with us is a hugely important part of this.,None
52,"We want you to be confident that your data is safe and secure with us, and understand how we use it to offer you a better and more personalised shopping experience.",None
53,"

What this Policy covers
The data controller is Tesco Ireland Limited (referred to in this policy as “we” or “us”).",None
54,"

We are committed to doing the right thing when it comes to how we collect, use and protect your personal data.",None
55,"That’s why we’ve developed this privacy and cookies policy (“Policy”), which:

sets out the types of personal data that we collect
explains how and why we collect and use your personal data
explains when and why we will share personal data within the Tesco Group and with other organisations; and
explains the rights and choices you have when it comes to your personal data
We offer a wide range of products and services, so we want you to be clear about what this Policy covers.",None
56,This Policy applies to you if you use our services (referred to in this Policy as “our Services”).,None
57,"Using our Services means:

shopping with us over the phone, or online or otherwise using any of the websites (“our Websites”) or mobile applications (“our Mobile Apps”) where this Policy is posted;",None
58,"or
being a member of the Clubcard loyalty scheme (“Clubcard”)
This Policy also applies if you contact us or we contact you about our Services.",None
59,"
Parts of this Policy also apply if you use our store pharmacy services.",None
60,"
Parts of this Policy also apply to our store CCTV systems where they capture footage of you (see CCTV Notice)
Some other parts of our business and other Tesco Group companies may need to collect and use personal data to provide you with their products and services and for certain other purposes.",None
61,They have their own privacy policies that explain how they use your personal data.,None
62,"

Our Websites or Mobile Apps may contain links to other websites operated by other organisations that have their own privacy policies.",None
63,Please make sure you read the terms and conditions and privacy policy carefully before providing any personal data on a website as we do not accept any responsibility or liability for websites of other organisations.,None
64,"Personal data we collect
This section tells you what personal data we may collect from you when you use our Services and what other personal data",None
65,we may receive from other sources.,None
66,"

When you register for our Services, you may provide us with:
Your personal details, including your postal and billing addresses, email addresses, phone numbers and date of birth and title
Information relating to your membership of any of our clubs, such as Christmas Savers
Your account login details, such as your username and the password that you have chosen
When you shop with us online or browse our Websites or use our Mobile Apps, we may collect:
",None
67,"Information about your online purchases (for example, what you have bought, when and where you bought it and how you paid for it)
",None
68,Information about your online browsing behaviour on our Websites and Mobile Apps and information about when you click on one of our adverts (including those shown on other organisations’ websites),None
69,"
Information about any devices you have used to access our Services (including the make, model and operating system, IP address, browser type and mobile device identifiers)",None
70,"
When you use Clubcard to shop with us, or use Clubcard vouchers or coupons, we may collect:",None
71,"
Transaction information, including the in-store and online purchases you earn Clubcard points for and how you use your Clubcard coupons and vouchers within the Tesco Group or with Clubcard Partners
When you contact us or we contact you or you take part in promotions, competitions, surveys or reviews about our Services, we may collect:
Personal data you provide about yourself anytime you contact us about our Services (for example, your name, username and contact details), including by phone, email or post or when you speak with us through social media
Details of the emails and other digital communications we send to you that you open, including any links in them that you click on
Your feedback and contributions to customer surveys and reviews.",None
72,"
When you visit our stores:
footage of you may be reocrder on our CCTV systems
When you use our pharmacies:
personal data including your prescription details, medical history, payment details and contact/address information
Other sources of personal data
",None
73,"We may also use personal data from other sources, such as specialist companies that supply information, online media channels, our Retail Partners and public registers.",None
74,"For example, this other personal data helps us to:",None
75,"

manage your Clubcard account (including the allocation of Clubcard points);",None
76,"
review and improve the accuracy of the data we hold; and
improve and measure the effectiveness of our marketing communications, including online advertising.",None
77,"

How and why we use personal data
This section explains in detail how and why we use personal data.",None
78,"We use personal data to:

Make our Services available to you
Manage the accounts you hold with us, including your Clubcard account
Process your orders and refunds
Why do we process your personal data in this way?",None
79,"
We need to process your personal data so that we can manage your customer accounts, provide you with the goods and services you want to buy and help you with any orders and refunds you may ask for.",None
80,"necessity:
At the time we collect the data:

purchase & transactions data
contact details
profile details",None
81,We will not be able to provide you with your products or services if you do not provide us with this information.,None
82,"
Legitimate Interests: following fulfilment of your order and for the other personal data set out in this section
Manage and improve our day-to-day operations
Manage and improve our Websites and Mobile Apps
Why do we process your personal data in this way?",None
83,"
We use cookies and similar technologies on our Websites and Mobile Apps to improve your customer experience.",None
84,"
Some cookies are necessary so you should not disable these if you want to be able to use all the features of our Websites and Mobile Apps.",None
85,You can disable other cookies but this may affect your customer experience.,None
86,"For more information about cookies and how you can disable them, see the cookies and similar technologies section.",None
87,"

Help to develop and improve our product range, services, stores, information technology systems, know-how and the way we communicate with you
Why do we process your personal data in this way?",None
88,"
We rely on the use of personal data to carry out market research and internal research and development, and to improve our information technology systems (including security) and our product range, services and stores.",None
89,This allows us to serve you better as a customer.,None
90,"

Detect and prevent fraud or other crime
Why do we process your personal data in this way?",None
91,"
It is important for us to monitor how our Services are used to detect and prevent fraud, other crimes and the misuse of services.",None
92,This helps us to make sure that you can safely use our Services.,None
93,"

Personalise your Tesco experience
Use your online browsing behaviour as well as your in-store and online purchases (including Clubcard transactions) to help us better understand you as a customer and provide you with personalised offers and services.",None
94,"
Why do we process your personal data in this way?",None
95,"
Looking at your browsing behaviour and purchases allows us to personalise our offers and services for you.",None
96,This helps us meet your needs as a customer.,None
97,"

Provide you with relevant",None
98,"marketing communications (including by email, post or online advertising), relating to our products and services, and those of our suppliers, Retail Partners and the Tesco Group.",None
99,"As part of this, online advertising may be displayed on websites across the Tesco Group and on other organisations’ websites and online media channels.",None
100,We may also measure the effectiveness of our marketing communications and those of our suppliers and Retail Partners.,None
101,"
Why do we process your personal data in this way?",None
102,"
We want to ensure that we provide you with marketing communications, including online advertising, that are relevant to your interests.",None
103,"To achieve this we also measure your responses to marketing communications relating to products and services we offer, which also means we can offer you products and services that better meet your needs as a customer.",None
104,"
You can change your marketing choices, both when you register with us, and at any time after that.",None
105,You also have choices when it comes to online advertising.,None
106,"We set out below your choices when it comes to cookies, and how you can control your online behavioural advertising preferences.",None
107,"Legitimate Interests: [For most marketing communications we rely on your consent (which you can withdraw at any time), however there are situations in which it is in our legitimate interests to use your personal data in that way.",None
108,"

Contact and interact with you
Contact you about our Services, for example by phone, email or post or by responding to social media posts that you have directed at us.",None
109,"
Why do we process your personal data in this way?",None
110,"
We want to serve you better as a customer so we use personal data to provide clarification or assistance in response to your communications

Manage promotions and competitions you take part in, including those we run with our suppliers and Retail Partners.",None
111,"
Why do we process your personal data in this way?",None
112,"
We need to process your personal data so that we can manage the promotions and competitions you choose to enter.",None
113,"

Invite you to take part in and manage customer surveys, reviews and other market research activities carried out by the Tesco Group and by other organisations on our behalf.",None
114,"
Why do we process your personal data in this way?",None
115,"
We carry out market research to improve our Services.",None
116,"However, if we contact you about this, you do not have to take part in the activities.",None
117,"If you tell us that you do not want us to contact you for market research, we will respect this choice.",None
118,This will not affect your ability to use our Services or your Clubcard.,None
119,In order to resolve legal claims or disputes involving you or us.,None
120,"
Why do we process your personal data in this way?",None
121,"
For example if you have any accident or there is an incident at our stores.",None
122,This could include medical reports.,None
123,"

Legal Basis
Bringing or Defending Legal Claims

CCTV
To monitor the safety of our stores in order to prevent and detect crime and anti-social behaviour.",None
124,"
Why do we process your personal data in this way?",None
125,"In order to protect our business, the local community, customers and colleagues.",None
126,"Legitimate Interests

Tesco Pharmacy
To ensure the safe delivery of healthcare services.",None
127,"
Why do we process your personal data in this way?",None
128,"
We need to process your personal data, including your medical information, to ensure we provide you with the highest standard of care or as required by the HSE.",None
129,Your prescription information will not be used for any other purpose.,None
130,"

Legal Basis
Medical Necessity

To help us to better understand you as a customer and to be able to provide you with services and marketing communications, including online advertising, that are relevant to your interests we also combine personal data we collect when you make purchases in-store using Clubcard with personal data collected from our Websites, Mobile Apps and other sources.",None
131,"

Our Legitimate Interests in using your personal data

Where we have mentioned above our use of your personal data is based on our “legitimate interests”, these are:
to service our customers’ needs, including delivering our products and services.",None
132,"
to promote and market our products and services.",None
133,"
to service your account (such as your Clubcard account), manage complaints and resolve any disputes.",None
134,"
to understand our customers including their patterns, behaviours as well as their likes and dislikes
to protect and support our business, colleagues, customers and shareholders.",None
135,"
to prevent and detect anti-social, fraud and other crime
to test and develop new products and services as well as improve existing ones.",None
136,"

Sharing personal data within the Tesco Group
This section explains how and why we share personal data with other companies within the Tesco Group.",None
137,"

We may share the personal data we collect with other companies in the Tesco Group.",None
138,"For example, we share personal data with the following Tesco Group companies.",None
139,"

Tesco Mobile
We make Clubcard information (including information about purchases when you use your Clubcard) and information about your online behaviour we have collected through cookies available to Tesco Mobile.",None
140,This helps them to improve their service and make their marketing communications more relevant to you.,None
141,"

You can find more information about the way in which Tesco Mobile use your data in their privacy and cookies policy.",None
142,"
dunnhumby, part of the Tesco Group, is also one of our main service providers.",None
143,dunnhumby help us to use personal data to help improve our understanding of customers and personalise your customer experience.,None
144,"You can find out more about what dunnhumby do here.


",None
145,"Sharing personal data with Retail Partners and Service Providers
This section explains how and why we share personal data with Retail Partners and Service Providers.",None
146,"

When we share personal data with these companies we require them to keep it safe, and they must not use your personal data for their own marketing purposes.",None
147,We work with a number of Retail,None
148,"Partners who –

sell products through our Services;",None
149,"or
offer products, services and/or the ability to earn points through Clubcard.",None
150,"
We only share personal data that enable our Retail Partners to provide their services.",None
151,"For example, when you redeem points we will give the relevant",None
152,Retail Partner your name and contact details so that they can deliver your items.,None
153,"

Service Providers
We work with carefully selected Service Providers that carry out certain functions on our behalf.",None
154,"These include, for example, companies that help us with technology services, storing and combining and analysing data, processing payments, provide us with legal or other professional services as well as delivering orders.",None
155,We only share personal data that enable our Service Providers to provide their services.,None
156,"

Some of the Service Providers we work with operate online media channels, and they place relevant online advertising for our products and services, as well as those of our suppliers and our Retail Partners, on those online media channels on our behalf.",None
157,"For example, you may see an advert for our products and services as you use a particular social media site or watch television through your pay TV account.",None
158,"Examples of our Service Providers include Facebook, Adobe, Dunnhumby and Worldpay.",None
159,"Sharing personal data with other organisations
This section explains how and why we share personal data with other organisations.",None
160,"

We may share personal data with other organisations in the following circumstances:

if the law or a public authority says we must share the personal data or for the administration of justice;",None
161,"
if we need to share personal data in order to establish, exercise or defend our legal rights (this includes providing personal data to others for the purposes of preventing fraud);",None
162,"
where we restructure, sell or transfer our business (or a part of it).",None
163,For example in connection with a takeover or merger.,None
164,"

How we protect personal data
We know how important it is to protect and manage your personal data.",None
165,This section sets out some of the measures we have in place.,None
166,"

We apply physical, electronic and procedural safeguards in connection with the collection, storage and disclosure of personal data.",None
167,"
We protect the security of your information while it is being transmitted by encrypting it;",None
168,We use computer safeguards such as firewalls and data encryption to keep this data safe;,None
169,"
We only authorise access to employees and trusted partners who need it to carry out their responsibilities;
",None
170,We regularly monitor our systems for possible vulnerabilities and attacks and we carry out penetrations testing to identify ways to further strengthen security;,None
171,"We will ask for proof of identity before we share your personal date with you; and
",None
172,We will reveal only the last four digits of your payment card number when confirming an order.,None
173,"
Whilst we take appropriate technical and organisational measures to safeguard your personal data, it is important that you keep your login details and devices protected from unauthorised access.",None
174,"

The personal data that we collect from you may be transferred to, and stored at, a destination outside the European Economic Area (""EEA"").",None
175,It may also be processed by companies operating outside the EEA who work for us or for one of our service providers.,None
176,"If we do this we ensure that your privacy rights are respected in line with this Policy. The most common way we do this is to put in place a specific type of contract, a copy of this type of contract can be found here or through an approved scheme such as the Privacy Shield.",None
177,"

How long we use personal data for

We will not keep your personal data longer than we need to, how long this is depend on several factors, including:
Why we collected it in the first place;",None
178,"
How old it is;",None
179,"
Whether there is a legal/regulatory reason for us to keep it;",None
180,"
Whether we need it to protect you or us.",None
181,"

Marketing and market research
This section explains the choices you have when it comes to receiving marketing communications and taking part in market research.",None
182,"

We will send you relevant offers and news about our products and services in a number of ways including by email, but only if you have previously agreed to receive these marketing communications.",None
183,"When you register with us we will ask if you would like to receive marketing communications, and you can change your marketing choices online, over the phone or in writing at any time.",None
184,"

Over the phone:
Call 1850 744 844

By writing to:
Tesco Customer Contact Centre
IDA Business and Technology Park
Butlerstown",None
185,"
Cork Road
Waterford
",None
186,"We also like to hear your views to help us to improve our Services, so we may contact you for market research purposes.",None
187,You always have the choice about whether to take part in our market research.,None
188,"Cookies and similar technologies
What is a cookie?",None
189,"
We and our partners use cookies and similar technologies, such as tags and pixels (“Cookies”), to personalise and improve your customer experience as you use our Websites and Mobile Apps and to provide you with relevant online advertising.",None
190,"This section provides more information about Cookies, including how we use them and how you can exercise your choices about our use of Cookies.",None
191,"

A Cookie is a small text file, often encrypted, that is placed in your web browser on your receiving terminal (your PC, telephone, tablet, or any other device) when you visit a website.",None
192,"During the course of your visit to that website, and on subsequent visits, it sends information from your browser which contains information about your visit(s).",None
193,They do not damage your computer.,None
194,They can be used only for the duration of your visit or they can be used to measure how you interact with services and content over time.,None
