,sentence,label
0,"Datenschutzerklärung nach der DS-GVO
I. Name und Anschrift des Verantwortlichen
",None
1,"Der Verantwortliche im Sinne der Datenschutz-Grundverordnung (DS-GVO) und des Bundesdatenschutzgesetzes neu (BDSG neu) sowie sonstiger datenschutzrechtlicher Bestimmungen ist die:

Toto-Lotto Niedersachsen",None
2,"GmbH
",None
3,"Geschäftsführung
Axel Holthaus und Sven Osthoff
",None
4,"Am TÜV 2 + 4
30519 Hannover
Deutschland",None
5,"
Tel.: 0511 8402-0 (Zentrale)",None
6,"
E-Mail: info(at)",None
7,"lotto-niedersachsen.de

II. Datenschutzbeauftragter
",None
8,"Kontakt zum Datenschutzbeauftragten des Verantwortlichen:

Datenschutzbeauftragter
",None
9,"Am TÜV 2 + 4
",None
10,"30519 Hannover
Deutschland",None
11,"
E-Mail: datenschutz(at)",None
12,"lotto-niedersachsen.de

III. Allgemeines zur Datenverarbeitung",None
13,"
",None
14,1. Umfang der Datenverarbeitung,None
15,"

Wir erheben und verwenden Daten unserer Nutzer grundsätzlich nur, soweit dies zur Bereitstellung einer funktionsfähigen Webseite sowie unserer Inhalte erforderlich ist.",None
16,"Die von uns erhobenen Daten weisen hierbei keinerlei direkten Personenbezug auf, sondern werden von uns ausschließlich in pseudonymisierter (im Folgenden „personenbeziehbare Daten“) oder anonymisierter Form (im Folgenden „Daten“) verwendet.",None
17,"

LOTTO.de ist eine Serviceplattform, auf der Spieltipps für unterschiedliche Lotterien vorbereitet werden können.",None
18,Über eine Eingabemaske können sich Nutzer über LOTTO.de bei der Landeslotteriegesellschaft des Bundeslandes des Nutzers anmelden und ihren Spieltipp abgeben oder zum Registrierungsprozess gelangen.,None
19,Nach erfolgter Eingabe im Browser des Nutzers erfolgt sofort eine Weiterleitung auf die jeweilige Webseite der entsprechenden Landeslotteriegesellschaft.,None
20,Die personenbeziehbaren Daten des Nutzers werden in diesem Fall ausschließlich von der jeweiligen Landeslotteriegesellschaft des Bundeslands des Nutzers verarbeitet.,None
21,"Die Erhebung und Verwendung personenbeziehbarer Daten unserer Nutzer erfolgt nur, wenn die Verarbeitung der Daten durch gesetzliche Vorschriften gestattet ist.",None
22,"

2. Rechtsgrundlage für die Verarbeitung personenbeziehbarer Daten

Ist die Verarbeitung zur Wahrung eines berechtigten Interesses unseres Unternehmens oder eines Dritten erforderlich und überwiegen die Interessen, Grundrechte und Grundfreiheiten des Betroffenen das erstgenannte Interesse nicht, so dient Art. 6 Abs. 1 lit.",None
23,f),None
24,DS-GVO als Rechtsgrundlage für die Verarbeitung.,None
25,"

3. Datenlöschung und Speicherdauer",None
26,"

",None
27,"Die personenbeziehbaren Daten der betroffenen Person werden gelöscht, sobald der Zweck der Speicherung entfällt.",None
28,"Eine Speicherung kann darüber hinaus erfolgen, wenn dies durch den europäischen oder nationalen Gesetzgeber in unionsrechtlichen Verordnungen, Gesetzen oder sonstigen Vorschriften, denen unser Unternehmen unterliegt, vorgesehen wurde.",None
29,"Eine Löschung der Daten erfolgt auch dann, wenn eine durch die genannten Normen vorgeschriebene Speicherfrist abläuft.",None
30,"

IV. Bereitstellung der Webseite und Erstellung von Logfiles
",None
31,"1. Beschreibung und Umfang der Datenverarbeitung

",None
32,Bei jedem Aufruf unserer Webseite erfasst unser System automatisiert Daten und Informationen vom Computersystem des aufrufenden Rechners.,None
33,"
",None
34,Folgende Daten werden hierbei erhoben:,None
35,"

(1)",None
36,"Informationen über den Browsertyp und die verwendete Version
(2)",None
37,"Das Betriebssystem des Nutzers
(3)",None
38,"Die IP-Adresse des Nutzers
(4)",None
39,"Datum und Uhrzeit des Zugriffs
(5) Webseiten, von denen das System des Nutzers auf unsere Webseite gelangt
(6) Webseiten, die vom System des Nutzers über unsere Webseite aufgerufen werden
(7) Webseiten, die vom System des Nutzers auf unserer Webseite aufgerufen werden",None
40,"

",None
41,Die Daten werden in den Logfiles unseres Systems gespeichert.,None
42,Eine Speicherung dieser Daten zusammen mit weiteren personenbezogenen oder personenbeziehbaren Daten des Nutzers findet nicht statt.,None
43,"

2. Rechtsgrundlage für die Datenverarbeitung

Rechtsgrundlage für die Erhebung und vorübergehende Speicherung der personenbeziehbaren Daten und der Logfiles ist Art. 6 Abs. 1 lit. f)",None
44,DS-GVO.,None
45,"

3. Zweck der Datenverarbeitung

",None
46,"Die Erhebung und vorübergehende Speicherung der IP-Adresse durch das System ist notwendig, um eine Auslieferung der Webseite an den Rechner des Nutzers zu ermöglichen.",None
47,Hierfür muss die IP-Adresse des Nutzers für die Dauer der Sitzung gespeichert bleiben.,None
48,"

",None
49,"Die Speicherung in Logfiles erfolgt, um die Funktionsfähigkeit der Webseite sicherzustellen.",None
50,Zudem dienen uns die personenbeziehbaren Daten zur Optimierung der Webseite und zur Sicherstellung der Sicherheit unserer informationstechnischen Systeme.,None
51,Eine Auswertung der personenbeziehbaren Daten zu Analysezwecken findet in diesem Zusammenhang nicht statt.,None
52,"

In diesen Zwecken liegt auch unser berechtigtes Interesse an der Datenverarbeitung nach Art. 6 Abs. 1 lit.",None
53,f),None
54,DS-GVO.,None
55,"

",None
56,Die Interessen des Nutzers werden durch die Erhebung und nur vorübergehende Speicherung von ausschließlich pseudonymisierten Daten gewahrt.,None
57,"

4. Dauer der Speicherung

",None
58,"Die personenbeziehbaren Daten werden gelöscht, sobald sie für die Erreichung des Zweckes ihrer Erhebung nicht mehr erforderlich sind.",None
59,"Im Falle der Erfassung der personenbeziehbaren Daten zur Bereitstellung der Webseite ist dies der Fall, wenn der jeweilige Besuch unserer Webseite beendet ist.",None
60,"

",None
61,Im Falle der vorübergehenden Speicherung der personenbeziehbaren Daten in Logfiles ist dies nach spätestens 7 Tagen der Fall.,None
62,"

5. Widerspruchs- und Beseitigungsmöglichkeit

",None
63,Die Erfassung der personenbeziehbaren Daten zur Bereitstellung der Webseite und die Speicherung der personenbeziehbaren Daten in Logfiles ist für den Betrieb der Webseite zwingend erforderlich.,None
64,Es besteht folglich keine Widerspruchsmöglichkeit.,None
65,"

V. Verwendung von Cookies
",None
66,"1. Allgemeine Informationen

",None
67,"Bei Cookies handelt es sich um Textdateien, die im Browser bzw. vom Browser auf dem Computersystem des Nutzers gespeichert werden.",None
68,"Ruft ein Nutzer eine Webseite auf, so kann ein Cookie auf dem Betriebssystem des Nutzers gespeichert werden.",None
69,"Dieser Cookie enthält eine charakteristische Zeichenfolge, die eine eindeutige Identifizierung des Browsers beim erneuten Aufrufen der Webseite ermöglicht.",None
70,"


",None
71,"2. Technisch notwendige Cookies

a) Beschreibung und Umfang der Datenverarbeitung",None
72,"

Wir setzen technisch notwendige Cookies ein, um unsere Webseite nutzerfreundlicher zu gestalten.",None
73,"Einige Elemente unserer Webseite erfordern es, dass der aufrufende Browser auch nach einem Seitenwechsel identifiziert werden kann.",None
74,"

",None
75,"In den technisch notwendigen Cookies werden dabei folgende (personenbeziehbare) Daten gespeichert und übermittelt:

""marketing"": zur Abrechnung von Provisionen mit Kooperationspartnern:",None
76,"Es werden Informationen zu Kampagne, Netzwerk, Partner, Werbemittel und ggf. zusätzliche Informationen (z. B. Werbeplatz, Kundennummer) gespeichert.",None
77,"

b) Rechtsgrundlage für die Datenverarbeitung",None
78,"

",None
79,Die Rechtsgrundlage für die Verarbeitung personenbeziehbarer Daten unter Verwendung technisch notwendiger Cookies ist Art. 6 Abs. 1 lit.,None
80,f),None
81,DS-GVO.,None
82,"

c) Zweck der Datenverarbeitung",None
83,"

",None
84,"Der Zweck der Verwendung technisch notwendiger Cookies ist, die Nutzung von Webseiten für die Nutzer zu vereinfachen.",None
85,Einige Funktionen unserer Webseite können ohne den Einsatz von technisch notwendigen Cookies nicht angeboten werden.,None
86,"Für diese ist es erforderlich, dass der Browser auch nach einem Seitenwechsel wiedererkannt wird.",None
87,"

",None
88,Die durch technisch notwendige Cookies erhobenen personenbeziehbaren Daten werden nicht zur Erstellung von Nutzerprofilen verwendet.,None
89,Die Interessen des Nutzers werden durch die Erhebung und Speicherung von ausschließlich pseudonymisierten Daten gewahrt.,None
90,"

d) Empfänger, denen die personenbeziehbaren Daten offengelegt werden",None
91,"

Werden technisch notwendige Cookies zu Marketingzwecken gesetzt, werden die personenbeziehbaren Daten der Landeslotteriegesellschaft des Bundeslands des Nutzers übermittelt.",None
92,"

e) Dauer der Speicherung

",None
